Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Voodoo Ranger Fruit Force IPA,12.99,4.5,4,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,20,Fruity,"Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Duck & Game Bird, Lamb, Mushrooms, Nuts, Pasta",,,240,13,Kosher
Asahi Super Dry,28.43,4.8,16,Rice Lager,Japan,,5%,20,"Crisp, Dry, Fresh, Grainy, Light, Smooth","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Chicken, Cured Meats, Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Duck & Game Bird, Fish - Meaty & Oily, Fish - White, Fruit - Citrus, Fruit - Dried, Fruit - Sweet, Lamb, Mushrooms, Nuts, Pasta, Pork, Root Vegetables, Salads & Greens, Shellfish, Tomatoes, Turkey",Pint Glass,40-45° F,135,6.1,
Fiddlehead IPA,15.0,4.8,8,IPA,"Vermont, United States",,6.2%,53,,,Snifter/Goblet/Chalice,45-50° F,,,
Lord Hobo Boomsauce Double IPA,14.99,4.7,23,Imperial / Double IPA,"Massachusetts, United States",Craft,7.8%,78,"Citrus, Hoppy, Strong, Tropical Fruit","Beef, Chicken","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Modelo Chelada Especial Mexican Import Flavored Beer,3.99,4.6,44,Specialty Beer & Alternatives,Mexico,,3.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,144,17.5,
Dogfish Head 60 Minute IPA,11.99,4.7,29,IPA,"Delaware, United States",Craft,6%,60,"Hoppy, Citrus, Malty, Pine","Fruit - Dried, Cured Meats","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
RITAS Straw-Ber-Rita,6.99,4.7,25,Malt Liquor,"Missouri, United States",,5%,22,"Flavored, Fruity, Sweet","Nuts, Chicken","Pint Glass, Snifter/Goblet/Chalice, Mason Jar",35-40° F,,,
Dos Equis Ambar,10.49,4.8,15,Amber / Vienna Lager,Mexico,,4.7%,22,"Caramel, Fresh, Honey, Roasted, Smooth, Toasty","Beef, Cheese - Nutty & Semi-Firm, Chicken, Fish - White, Pork","Pilsner Glass, Pint Glass",45-50° F,146,14,
Heineken Light,18.99,4.5,43,Light Lager,Netherlands,,3.3%,12,"Bready, Dry, Light","Salads & Greens, Chicken",Pint Glass,35-40° F,99,6.8,Gluten Reduced
Tecate Light,13.99,4.6,11,Light Lager,Mexico,,3.9%,7,"Crisp, Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,110,7.9,
"TRULY Hard Seltzer Red, White & TRU Party Pack Variety",20.89,4.4,23,Hard Seltzer,"Massachusetts, United States","Seasonal, Variety Pack",5%,,"Crisp, Fresh, Light, Smooth","Beef, Chicken, Salads & Greens",Snifter/Goblet/Chalice,40-45° F,,,"Gluten Reduced, Gluten-Free"
Michelob Ultra Pure Gold,10.99,4.7,60,Light Lager,"Missouri, United States",,3.2%,,,,Pint Glass,35-40° F,85,2.5,Organic
Angry Orchard Hard Cider Sunny Sessions Seasonal Variety Pack,18.99,4.6,60,Cider,"New York, United States","Seasonal, Variety Pack",5%,,"Apple, Bright, Cherry, Crisp, Fruity, Smooth, Sour, Sweet, Vanilla","Dessert - Fruit, Dessert - Vanilla & Caramel","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten Reduced, Gluten-Free"
Dos Equis Lager Lime & Salt,10.69,4.6,6,Pale Lager,Mexico,,4.2%,10,"Citrus, Flavored, Fruity, Light",,,,135,12,
Tecate,12.99,4.6,37,American-Style Lager,Mexico,,4.5%,14,"Light, Grainy, Bready, Bright","Chicken, Salads & Greens",Pint Glass,35-40° F,,,
Voodoo Ranger Imperial IPA,12.99,4.7,77,Imperial / Double IPA,"Colorado, United States",Craft,9%,70,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,250,17,Kosher
Cayman Jack Margarita,19.49,4.8,26,Malt Liquor,"Illinois, United States",,5.8%,,,,Pint Glass,35-40° F,,,
Flying Dog The Truth Imperial IPA,13.99,4.8,18,Imperial / Double IPA,"Maryland, United States",Craft,8.7%,80,"Hoppy, Citrus, Fruity, Tropical Fruit","Shellfish, Cheese - Fresh & Soft",Snifter/Goblet/Chalice,50-55° F,,,
Bud Light Seltzer Variety Pack,19.79,4.6,85,Hard Seltzer,"Missouri, United States",Variety Pack,5%,,Fruity,,Snifter/Goblet/Chalice,40-45° F,100,,"Gluten Reduced, Gluten-Free"
Athletic Brewing Upside Dawn,11.99,4.7,18,Non-Alcoholic Beer,"Connecticut, United States","Craft, Independent Craft Brewer, Non-Alcoholic",0.5%,15,"Balanced, Crisp, Earthy, Floral, Fresh, Light","Cheese - Hard Aged, Fish - White, Pasta, Salads & Greens, Tomatoes",Pint Glass,45-50° F,45,10,Gluten Reduced
Montauk Wave Chaser IPA,57.99,4.6,8,IPA,"New York, United States",Craft,6.4%,60,"Tropical, Tropical Fruit, Citrus, Malty","Fish - White, Fruit - Citrus","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
"Angry Orchard Green Apple Hard Cider, Spiked",11.49,4.8,29,Cider,"New York, United States",,5%,,"Apple, Green Apple, Sweet, Tart","Pork, Cheese - Fresh & Soft","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Lagunitas Little Sumpin' Sumpin' Ale,11.99,4.7,36,Wheat Ale,"California, United States",Craft,7.5%,64,"Citrus, Hoppy, Intense, Smooth","Cheese - Hard Aged, Fruit - Dried",Pint Glass,45-50° F,,,
Tecate,12.99,4.6,37,American-Style Lager,Mexico,,4.5%,14,"Light, Grainy, Bready, Bright","Chicken, Salads & Greens",Pint Glass,35-40° F,,,
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
Athletic Brewing Free Wave Hazy IPA,11.99,4.7,4,Non-Alcoholic Beer,"Connecticut, United States","Craft, Independent Craft Brewer, Non-Alcoholic",0.5%,50,"Bold, Citrus, Fresh, Hoppy, Intense, Strong, Tropical, Tropical Fruit","Beef, Cheese - Nutty & Semi-Firm, Chicken, Duck & Game Bird, Fish - Meaty & Oily, Lamb, Mushrooms, Pork, Root Vegetables, Turkey",,,70,16,
Harpoon IPA,18.99,4.8,22,IPA,United States,"Craft, Independent Craft Brewer",6%,42,"Malty, Hoppy, Floral, Herbal","Chicken, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Heineken Light,18.99,4.5,43,Light Lager,Netherlands,,3.3%,12,"Bready, Dry, Light","Salads & Greens, Chicken",Pint Glass,35-40° F,99,6.8,Gluten Reduced
Seagrams Escapes Variety Pack,15.99,4.8,29,Hard Seltzer,United States,Variety Pack,3.2%,,"Sweet, Tropical, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,,,
White Claw Raspberry Hard Seltzer,11.99,4.7,23,Hard Seltzer,United States,,5%,,,,"Pint Glass, Mason Jar",40-45° F,100,2,Gluten Reduced
White Claw Hard Seltzer Peach,2.68,4.8,2,Hard Seltzer,"Illinois, United States",,5%,,,,Snifter/Goblet/Chalice,40-45° F,100,2,
Busch Beer,11.37,4.7,15,American-Style Lager,"Missouri, United States",,4.3%,,"Grainy, Dry, Light","Beef, Nuts",Pint Glass,35-40° F,,,
Pilsner Urquell Beer,38.99,4.8,31,Pilsner,Czech Republic,,4.4%,40,"Crisp, Dry, Grainy, Minerality","Salads & Greens, Chicken",Pilsner Glass,40-45° F,,,
Blue Moon Light Sky Citrus Wheat Craft Beer,11.0,4.7,28,Wheat Ale,"Colorado, United States",Craft,4%,10,"Citrus, Fresh","Chicken, Salads & Greens",Weizen Glass,45-50° F,,,
Keystone Light American Lager Beer,20.33,4.6,27,Light Lager,"Colorado, United States",,4.1%,7,"Grainy, Light","Beef, Chicken, Cured Meats",Pint Glass,35-40° F,101,4.7,
Dogfish Head SeaQuench Ale Session Sour Beer,11.99,4.7,40,Gose,"Delaware, United States",Craft,4.9%,10,"Tart, Salty, Citrus, Intense","Nuts, Fish - White",Stange,40-45° F,,,
Voodoo Ranger IPA,11.54,4.7,35,IPA,"Colorado, United States",Craft,7%,50,"Citrus, Floral, Hoppy, Stone Fruit","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Lamb, Mushrooms, Nuts, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,200,15,Kosher
Sierra Nevada Torpedo Extra IPA,10.99,4.7,16,IPA,"California, United States",Craft,7.2%,65,"Hoppy, Bitter, Balanced, Dry","Fish - Meaty & Oily, Cheese - Blue","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
National Bohemian,11.0,4.7,24,American-Style Lager,"Maryland, United States",,4.52%,,"Light, Dry, Grainy, Bready","Nuts, Beef",Pint Glass,35-40° F,,,
Sierra Nevada Big Little Thing Imperial IPA,11.99,4.7,8,Imperial / Double IPA,"California, United States","Craft, Independent Craft Brewer",9%,45,,,Snifter/Goblet/Chalice,45-50° F,254,15,
Samuel Adams Seasonal Variety Pack Beer,23.4,4.5,34,Variety Pack Beer,"Massachusetts, United States","Craft, Seasonal, Variety Pack",5.5%,,"Crisp, Smooth","Beef, Cheese - Nutty & Semi-Firm, Chicken, Cured Meats, Dessert - Chocolate & Coffee","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,Kosher
Stone IPA,5.99,4.7,13,IPA,"California, United States",Craft,6.9%,71,"Hoppy, Malty, Bright, Citrus","Fruit - Citrus, Chicken","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Brooklyn Lager,11.29,4.7,13,Amber / Vienna Lager,"New York, United States","Craft, Independent Craft Brewer",5.2%,33,"Bready, Caramel, Crisp, Grainy, Hoppy, Light, Malty","Beef, Cheese - Fresh & Soft, Chicken, Fish - Meaty & Oily, Salads & Greens","Pint Glass, Pilsner Glass",45-50° F,,,
Sloop Brewing Juice Bomb IPA,13.99,4.7,17,New England / Hazy IPA,"New York, United States",,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Mike's Hard Strawberry Lemonade,10.99,4.7,21,Hard Lemonade,"Illinois, United States",,5%,,"Acidic, Flavored, Fruity, Tart",Nuts,"Pint Glass, Mason Jar",40-45° F,,,Gluten Reduced
Sixpoint Resin,10.99,4.8,23,Imperial / Double IPA,"New York, United States","Craft, Independent Craft Brewer",9.1%,103,"Floral, Grapefruit, Hoppy, Pine","Cheese - Hard Aged, Salads & Greens, Turkey",Snifter/Goblet/Chalice,50-55° F,,,
Bud Light Chelada Original With Clamato,2.19,4.7,26,Light Lager,"Missouri, United States",,4.2%,,"Flavored, Light, Vegetal","Mushrooms, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Stella Artois Cidre,7.99,4.6,59,Cider,United States,,4.5%,10,"Acidic, Apple, Bright","Pork, Cheese - Stinky","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Hoegaarden White,18.99,4.8,31,Witbier,Belgium,,4.2%,15,"Yeasty, Biscuit, Bready, Citrus","Nuts, Fish - White",Snifter/Goblet/Chalice,45-50° F,,,
Downeast Cider Original Blend,10.99,4.8,52,Cider,"Massachusetts, United States","Craft, Independent Craft Brewer",5.1%,,"Sweet, Apple, Crisp","Duck & Game Bird, Pork","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Wölffer No. 139 Dry Rosé Cider,15.99,4.8,27,Cider,"New York, United States",,6.9%,10,"Apple, Dry, Fruity, Crisp","Fruit - Sweet, Lamb","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Mike's Hard Black Cherry Lemonade,17.99,4.8,27,Hard Lemonade,"Illinois, United States",,5%,,"Acidic, Flavored, Fruity, Sweet","Dessert - Fruit, Nuts","Pint Glass, Mason Jar",40-45° F,,,Gluten Reduced
Rolling Rock Extra Pale,10.99,4.7,34,American-Style Lager,"Missouri, United States",,4.4%,5,"Light, Dry, Grainy, Bright","Nuts, Cured Meats",Pint Glass,35-40° F,,,
RITAS Lime-A-Rita,18.99,4.6,21,Malt Liquor,"Missouri, United States",,8%,,"Citrus, Sweet, Syrupy, Tart","Chicken, Shellfish","Pint Glass, Snifter/Goblet/Chalice, Mason Jar",35-40° F,,,
"Guinness 0, Non-Alcoholic Beer, .05% ABV",9.99,4.8,7,Non-Alcoholic Beer,Ireland,Non-Alcoholic,0.5%,,,,,,,,
TRULY Hard Seltzer Wild Berry,11.49,4.5,13,Hard Seltzer,"Massachusetts, United States",,5%,,"Berry, Crisp, Fresh, Light","Chicken, Cheese - Fresh & Soft, Fruit - Dried",Pint Glass,40-45° F,100,2,"Gluten Reduced, Gluten-Free, Kosher"
White Claw Hard Seltzer 24pk Variety Pack,35.98,4.8,2,Hard Seltzer,"Illinois, United States",Variety Pack,5%,,"Crisp, Flavored, Fruity",,Snifter/Goblet/Chalice,40-45° F,100,2,Gluten-Free
Modelo Chelada Limon y Sal Mexican Import Flavored Beer,3.99,4.6,30,Malt Liquor,Mexico,,3.5%,,,,Pint Glass,45-50° F,120,12.5,
PRESS Premium Hard Seltzer Signature Variety Pack,18.99,4.7,23,Hard Seltzer,"Wisconsin, United States","Independent Craft Brewer, Variety Pack",4%,,"Balanced, Berry, Bright, Citrus, Crisp, Flavored, Floral, Fresh, Fruity, Grapefruit, Herbal, Light, Smooth, Sweet, Tart",,Pint Glass,40-45° F,110,7,Gluten Reduced
Michelob Ultra Organic Seltzer -Signature Collection,34.99,4.5,27,Hard Seltzer,"Missouri, United States",Variety Pack,4%,,"Peach, Pineapple",,Snifter/Goblet/Chalice,40-45° F,,,"Gluten-Free, Organic"
Stone Delicious IPA,2.59,4.5,95,IPA,"California, United States",Craft,7.7%,75,"Hoppy, Tropical, Dry, Nectarine","Salads & Greens, Cheese - Creamy & Bloomy","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Beck's,21.99,4.7,25,Pilsner,Germany,,4.8%,21,"Biscuit, Grainy, Light","Beef, Nuts",Pilsner Glass,40-45° F,,,
Flying Embers Variety Pack Hard Kombucha,26.49,4.4,4,Hard Kombucha,"California, United States",Variety Pack,6.9%,,"Bright, Citrus, Crisp, Fresh",,,,,,Organic
Flying Embers Black Cherry Hard Kombucha,4.99,4.3,2,Hard Kombucha,"California, United States",,7.2%,,"Cherry, Citrus, Fruity, Tart",,,,135,0.0001,Organic
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Lagunitas DayTime IPA,10.99,4.7,34,IPA,"California, United States",Craft,4%,31,"Fresh, Hoppy","Chicken, Cured Meats","Pint Glass, Mason Jar",45-50° F,98,,
Landshark Lager,9.99,4.7,31,American-Style Lager,"Florida, United States",,43%,15,"Crisp, Light, Dry","Nuts, Cheese - Hard Aged",Pint Glass,35-40° F,,,
Night Shift Santilli IPA,14.99,4.8,24,IPA,"Massachusetts, United States","Craft, Independent Craft Brewer",6%,,"Bitter, Bright, Citrus, Crisp, Grapefruit, Hoppy, Tropical Fruit","Cheese - Hard Aged, Fish - White, Pork, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Bud Light NEXT,10.49,4.2,13,Light Lager,"Missouri, United States",,4%,,,,Pilsner Glass,35-40° F,80,0,
Amstel Light,2.28,4.7,21,Pale Lager,Netherlands,,3.5%,12,"Bready, Dry, Grainy, Light",,Pint Glass,35-40° F,95,5,
Sixpoint The Crisp,10.95,4.6,20,Pilsner,"New York, United States","Craft, Independent Craft Brewer",5.4%,44,"Biscuit, Bready, Crisp, Floral, Grassy, Light, Smooth","Cheese - Creamy & Bloomy, Fish - White, Nuts, Salads & Greens",Pilsner Glass,40-45° F,,,
Modelo Oro Mexican Lager Light Beer,19.19,4.5,1,Light Lager,Mexico,,4%,,,"Fish - Meaty & Oily, Fish - White",Pilsner Glass,35-40° F,90,3,
Montucky Cold Snack Lager,1.99,4.8,10,Light Lager,"Montana, United States","Craft, Independent Craft Brewer",4.1%,8,"Light, Dry","Nuts, Chicken",Pint Glass,35-40° F,102,4.95,
Delirium Tremens,13.06,4.8,18,Belgian Strong Ale,Belgium,Craft,8.5%,26,"Sweet, Honey, Strong, Balanced","Dessert - Fruit, Cheese - Creamy & Bloomy",Snifter/Goblet/Chalice,50-55° F,,,
Creature Comforts Tropicalia IPA,23.09,4.8,2,IPA,"Georgia, United States",Independent Craft Brewer,6.6%,65,,,Snifter/Goblet/Chalice,45-50° F,,,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Foster's Lager Beer,10.59,4.8,21,Pale Lager,Australia,,5%,12,"Grainy, Dry","Nuts, Cured Meats",Pint Glass,40-45° F,,,
Not Your Father's Root Beer,11.99,4.8,45,Hard Soda,"Illinois, United States",,5.9%,10,"Sweet, Spicy, Vanilla, Silky","Dessert - Vanilla & Caramel, Fruit - Dried",Pint Glass,50-55° F,,,
Natty Daddy,1.99,4.5,9,Malt Liquor,"Missouri, United States",,13.5%,,,,Pint Glass,35-40° F,,,
Bell's Oberon American Wheat Ale,19.64,4.7,15,Witbier,"Michigan, United States","Craft, Seasonal",5.8%,10,"Spicy, Fruity, Banana","Fish - White, Dessert - Fruit",Pint Glass,45-50° F,187,16.2,
Oskar Blues Dale's Pale Ale,18.99,4.8,19,Pale Ale,"Colorado, United States",Craft,6.5%,65,"Caramel, Hoppy, Honey, Dry","Turkey, Pork",Pint Glass,45-50° F,,,
Austin Eastciders Original Dry Cider,9.39,4.8,13,Cider,"Texas, United States","Craft, Independent Craft Brewer",5%,,"Apple, Balanced, Dry, Fresh","Pork, Cheese - Blue","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten Reduced, Kosher"
"Angry Orchard Rosé Hard Cider, Spiked",10.99,4.6,44,Cider,"New York, United States",,5.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
White Claw Hard Seltzer Surge Blood Orange,2.59,4.6,5,Hard Seltzer,"Illinois, United States",,8%,,"Crisp, Flavored, Fruity",,Snifter/Goblet/Chalice,40-45° F,,,Gluten-Free
Magners Original Irish Cider,11.99,4.8,16,Cider,Ireland,,4.5%,,"Apple, Sweet","Pork, Fruit - Dried","Pint Glass, Snifter/Goblet/Chalice",45-50° F,150,,Gluten-Free
Heineken Silver Lager,19.99,4.6,5,Lager,Netherlands,,4%,5,,,,,95,3.2,
Bitburger Premium Pils,12.49,4.7,16,Pilsner,Germany,Craft,4.8%,23,"Bright, Crisp, Dry","Nuts, Cured Meats",Pilsner Glass,40-45° F,,,
Leffe Blonde,11.08,4.8,18,Belgian-Style Ale,Belgium,,40%,20,"Sweet, Honey, Stone Fruit, Spicy","Duck & Game Bird, Cured Meats",Pint Glass,45-50° F,,,
Topo Chico Hard Seltzer Ranch Water,20.12,4.6,2,Hard Seltzer,"Arizona, United States",,4.7%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Spindrift Spiked Variety Pack,24.4,4.7,3,Hard Seltzer,"Massachusetts, United States",Variety Pack,4%,,"Bright, Light, Pineapple",,Snifter/Goblet/Chalice,40-45° F,,,
Avery Hazyish IPA,11.99,4.8,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,30,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery IPA,10.99,4.9,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,69,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Brewing Hop Pack,20.99,,,Variety Pack Beer,"Colorado, United States","Craft, Seasonal, Variety Pack",6%,,,,,,,,
Night Shift Nite Lite Craft Light Lager,8.69,4.7,13,Light Lager,"Massachusetts, United States","Craft, Independent Craft Brewer",4.3%,,"Bready, Bright, Crisp, Light","Cheese - Fresh & Soft, Fish - White, Salads & Greens",Pint Glass,35-40° F,120,8.1,
Carlsberg Danish Pilsner,11.99,4.7,13,Pilsner,Denmark,,5%,18,"Apple, Crisp, Floral, Grainy, Grassy, Hoppy, Malty, Smooth","Beef, Chicken, Cured Meats, Fish - Meaty & Oily, Fish - White, Fruit - Sweet, Lamb, Nuts, Turkey","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",40-45° F,,,
Smirnoff Ice Smash Peach + Mango,3.75,4.4,7,Malt Liquor,United States,,8%,,,,Pint Glass,35-40° F,,,
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Heineken Light,18.99,4.5,43,Light Lager,Netherlands,,3.3%,12,"Bready, Dry, Light","Salads & Greens, Chicken",Pint Glass,35-40° F,99,6.8,Gluten Reduced
Ballast Point Sculpin IPA,8.86,4.8,24,IPA,"California, United States","Craft, Independent Craft Brewer",7%,70,"Hoppy, Bitter, Citrus, Pine","Beef, Cheese - Hard Aged","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Industrial Arts Wrench IPA,16.47,4.7,6,IPA,"New York, United States",Craft,7.1%,28,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Corona Familiar Lager Mexican Beer,4.69,4.8,44,Pale Lager,Mexico,,4.8%,,"Bright, Dry, Grainy","Nuts, Fruit - Citrus",Pint Glass,40-45° F,156,14.6,
New Holland Dragon's Milk Bourbon Barrel Stout,9.89,4.7,28,Imperial Stout,"Michigan, United States","Craft, Independent Craft Brewer",11%,30,"Creamy, Malty, Oak, Roasted, Smooth, Vanilla","Beef, Cheese - Blue, Cured Meats, Dessert - Fruit, Dessert - Vanilla & Caramel, Mushrooms",Pint Glass,45-50° F,,,
Bud Light Hard Seltzer Hard Soda Variety Pack,19.99,4.6,14,Hard Seltzer,"Missouri, United States",Variety Pack,5%,,"Bold, Cherry, Citrus, Flavored, Melon - Honeydew",,Snifter/Goblet/Chalice,40-45° F,,,
Lagunitas Maximus,12.11,4.6,18,Imperial / Double IPA,"California, United States",Craft,9%,72,"Citrus, Hoppy, Malty, Spicy","Cheese - Stinky, Nuts",Snifter/Goblet/Chalice,50-55° F,,,
TRULY Hard Seltzer Strawberry Lemonade,3.95,4.4,5,Hard Seltzer,"Massachusetts, United States",,5%,,"Crisp, Light, Fruity, Berry","Beef, Chicken, Fish - White",Snifter/Goblet/Chalice,40-45° F,,,"Gluten Reduced, Gluten-Free, Kosher"
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
